description,url,name
,,
,,
,,
,,
,,
,,
,,
description,name,url
,Folder icon designer Mac版,
,Mapbox Studio Mac版,
,Meme Generator Mac版,
,RightFont for mac,
,IconFly for mac,
,Rulers Mac版,
,FreeCAD Mac版,
,FxFactory Pro for mac,
,Find my Font for mac,
,Sketch Mac版,
name,url,description
<Selector xpath='//li/b/a/text()' data='Adobe Photoshop CC 2014 Mac版'>,,
<Selector xpath='//li/b/a/text()' data='Flyer Design Mac版'>,,
<Selector xpath='//li/b/a/text()' data='Osketch Mac版'>,,
<Selector xpath='//li/b/a/text()' data='Google Web Designer Mac版'>,,
<Selector xpath='//li/b/a/text()' data='Pixave for mac'>,,
<Selector xpath='//li/b/a/text()' data='Folder icon designer Mac版'>,,
<Selector xpath='//li/b/a/text()' data='Mapbox Studio Mac版'>,,
<Selector xpath='//li/b/a/text()' data='Meme Generator Mac版'>,,
<Selector xpath='//li/b/a/text()' data='RightFont for mac'>,,
<Selector xpath='//li/b/a/text()' data='IconFly for mac'>,,
<Selector xpath='//li/b/a/text()' data='Rulers Mac版'>,,
<Selector xpath='//li/b/a/text()' data='FreeCAD Mac版'>,,
<Selector xpath='//li/b/a/text()' data='FxFactory Pro for mac'>,,
<Selector xpath='//li/b/a/text()' data='Find my Font for mac'>,,
<Selector xpath='//li/b/a/text()' data='Sketch Mac版'>,,
name,description,url
Adobe Photoshop CC 2014 Mac版,,
Flyer Design Mac版,,
Osketch Mac版,,
Google Web Designer Mac版,,
Pixave for mac,,
Folder icon designer Mac版,,
Mapbox Studio Mac版,,
Meme Generator Mac版,,
RightFont for mac,,
IconFly for mac,,
Rulers Mac版,,
FreeCAD Mac版,,
FxFactory Pro for mac,,
Find my Font for mac,,
Sketch Mac版,,
url,name,description
,Adobe Photoshop CC 2014 Mac版,
,Flyer Design Mac版,
,Osketch Mac版,
,Google Web Designer Mac版,
,Pixave for mac,
,Folder icon designer Mac版,
,Mapbox Studio Mac版,
,Meme Generator Mac版,
,RightFont for mac,
,IconFly for mac,
,Rulers Mac版,
,FreeCAD Mac版,
,FxFactory Pro for mac,
,Find my Font for mac,
,Sketch Mac版,
name,description
,Adobe Photoshop CC 2014 for mac于今年的六月正式发布，功能上变得更加强大，尤其是加入了全新的智慧锐利化、内容感知修补程序和内容感知移动功能
,RightFont for mac相比真是有些过时了，臃肿的预览窗口，反复切换才能看到设置的列表在后者颠覆性的设计下都显得没有任何使用价值，RightFont 有一副轻量化的“骨骼”
,"LibreCAD 是一款开源免费的 2D CAD 制图软件，原名为 CADuntu 。它是基于社区版本 QCad 构建，并利用 Qt4 进行了重构，原生支持 Mac OSX, Windows 和 Linux"
,Principle是前 Apple 工程师打造的一款交互设计工具，五分钟即可制作出一个具有完整交互动画的原型，并且可将交互动画生成视频或者 Gif 分享到 Dribbble、Twitter 等社交平台。
,Artboard for mac是一款使用非常方便又实用的Mac OS平台矢量绘图工具。Artboard拥有个性丰富的画板界面，内置超过1700多种绚丽风格和可编辑的矢量剪贴画
